npz_row,cut_index,signal_file,true_vb
0,1,c_4_001.csv,24.216035842895508
1,2,c_4_002.csv,27.763925552368164
2,3,c_4_003.csv,31.058124542236328
3,4,c_4_004.csv,34.112728118896484
4,5,c_4_005.csv,36.941261291503906
5,6,c_4_006.csv,39.55670928955078
6,7,c_4_007.csv,41.97152328491211
7,8,c_4_008.csv,44.19763946533203
8,9,c_4_009.csv,46.246490478515625
9,10,c_4_010.csv,48.1290283203125
10,11,c_4_011.csv,49.85573196411133
11,12,c_4_012.csv,51.43663024902344
12,13,c_4_013.csv,52.88129806518555
13,14,c_4_014.csv,54.19889831542969
14,15,c_4_015.csv,55.398162841796875
15,16,c_4_016.csv,56.487430572509766
16,17,c_4_017.csv,57.47465133666992
17,18,c_4_018.csv,58.367401123046875
18,19,c_4_019.csv,59.17288589477539
19,20,c_4_020.csv,59.8979606628418
20,21,c_4_021.csv,60.54914855957031
21,22,c_4_022.csv,61.132633209228516
22,23,c_4_023.csv,61.6542854309082
23,24,c_4_024.csv,62.119667053222656
24,25,c_4_025.csv,62.53404998779297
25,26,c_4_026.csv,62.90241622924805
26,27,c_4_027.csv,63.229469299316406
27,28,c_4_028.csv,63.519649505615234
28,29,c_4_029.csv,63.77986526489258
29,30,c_4_030.csv,64.02124786376953
30,31,c_4_031.csv,64.24612426757812
31,32,c_4_032.csv,64.45668029785156
32,33,c_4_033.csv,64.65493774414062
33,34,c_4_034.csv,64.84280395507812
34,35,c_4_035.csv,65.02204132080078
35,36,c_4_036.csv,65.19428253173828
36,37,c_4_037.csv,65.36104583740234
37,38,c_4_038.csv,65.52373504638672
38,39,c_4_039.csv,65.68362426757812
39,40,c_4_040.csv,65.84190368652344
40,41,c_4_041.csv,65.99964141845703
41,42,c_4_042.csv,66.15782928466797
42,43,c_4_043.csv,66.31735229492188
43,44,c_4_044.csv,66.47900390625
44,45,c_4_045.csv,66.64350128173828
45,46,c_4_046.csv,66.81148529052734
46,47,c_4_047.csv,66.98351287841797
47,48,c_4_048.csv,67.16006469726562
48,49,c_4_049.csv,67.34156799316406
49,50,c_4_050.csv,67.52837371826172
50,51,c_4_051.csv,67.72076416015625
51,52,c_4_052.csv,67.91898345947266
52,53,c_4_053.csv,68.12320709228516
53,54,c_4_054.csv,68.33356475830078
54,55,c_4_055.csv,68.55013275146484
55,56,c_4_056.csv,68.77294921875
56,57,c_4_057.csv,69.00200653076172
57,58,c_4_058.csv,69.23724365234375
58,59,c_4_059.csv,69.47859954833984
59,60,c_4_060.csv,69.7259292602539
60,61,c_4_061.csv,69.97909545898438
61,62,c_4_062.csv,70.23792266845703
62,63,c_4_063.csv,70.50218963623047
63,64,c_4_064.csv,70.77166748046875
64,65,c_4_065.csv,71.04609680175781
65,66,c_4_066.csv,71.32521057128906
66,67,c_4_067.csv,71.62235260009766
67,68,c_4_068.csv,72.0118637084961
68,69,c_4_069.csv,72.41093444824219
69,70,c_4_070.csv,72.81906127929688
70,71,c_4_071.csv,73.23573303222656
71,72,c_4_072.csv,73.660400390625
72,73,c_4_073.csv,74.09249877929688
73,74,c_4_074.csv,74.53145599365234
74,75,c_4_075.csv,74.97669982910156
75,76,c_4_076.csv,75.4276123046875
76,77,c_4_077.csv,75.88360595703125
77,78,c_4_078.csv,76.34405517578125
78,79,c_4_079.csv,76.80835723876953
79,80,c_4_080.csv,77.27588653564453
80,81,c_4_081.csv,77.74602508544922
81,82,c_4_082.csv,78.21815490722656
82,83,c_4_083.csv,78.69165802001953
83,84,c_4_084.csv,79.16593170166016
84,85,c_4_085.csv,79.64035034179688
85,86,c_4_086.csv,80.11433410644531
86,87,c_4_087.csv,80.58727264404297
87,88,c_4_088.csv,81.05859375
88,89,c_4_089.csv,81.52771759033203
89,90,c_4_090.csv,81.99407196044922
90,91,c_4_091.csv,82.45712280273438
