npz_row,cut_index,signal_file,true_vb
0,1,c_1_001.csv,39.64352035522461
1,2,c_1_002.csv,41.73550796508789
2,3,c_1_003.csv,43.7038688659668
3,4,c_1_004.csv,45.59752655029297
4,5,c_1_005.csv,47.44375991821289
5,6,c_1_006.csv,49.22414779663086
6,7,c_1_007.csv,50.94063949584961
7,8,c_1_008.csv,52.59512710571289
8,9,c_1_009.csv,54.1894645690918
9,10,c_1_010.csv,55.725460052490234
10,11,c_1_011.csv,57.20486831665039
11,12,c_1_012.csv,58.62940979003906
12,13,c_1_013.csv,60.000755310058594
13,14,c_1_014.csv,61.32053756713867
14,15,c_1_015.csv,62.5903434753418
15,16,c_1_016.csv,63.81172561645508
16,17,c_1_017.csv,64.98619842529297
17,18,c_1_018.csv,66.11522674560547
18,19,c_1_019.csv,67.20024871826172
19,20,c_1_020.csv,68.24267578125
20,21,c_1_021.csv,69.24385833740234
21,22,c_1_022.csv,70.20513153076172
22,23,c_1_023.csv,71.12779235839844
23,24,c_1_024.csv,72.01309967041016
24,25,c_1_025.csv,72.86228942871094
25,26,c_1_026.csv,73.67655944824219
26,27,c_1_027.csv,74.45707702636719
27,28,c_1_028.csv,75.205078125
28,29,c_1_029.csv,75.94243621826172
29,30,c_1_030.csv,76.66800689697266
30,31,c_1_031.csv,77.38074493408203
31,32,c_1_032.csv,78.07970428466797
32,33,c_1_033.csv,78.76402282714844
33,34,c_1_034.csv,79.43292999267578
34,35,c_1_035.csv,80.08573150634766
35,36,c_1_036.csv,80.72180938720703
36,37,c_1_037.csv,81.34062957763672
37,38,c_1_038.csv,81.94172668457031
38,39,c_1_039.csv,82.52469635009766
39,40,c_1_040.csv,83.08920288085938
40,41,c_1_041.csv,83.63497924804688
41,42,c_1_042.csv,84.16180419921875
42,43,c_1_043.csv,84.66952514648438
43,44,c_1_044.csv,85.15804290771484
44,45,c_1_045.csv,85.62728881835938
45,46,c_1_046.csv,86.07725524902344
46,47,c_1_047.csv,86.50799560546875
47,48,c_1_048.csv,86.91957092285156
48,49,c_1_049.csv,87.31210327148438
49,50,c_1_050.csv,87.68575286865234
50,51,c_1_051.csv,88.04071044921875
51,52,c_1_052.csv,88.377197265625
52,53,c_1_053.csv,88.69546508789062
53,54,c_1_054.csv,88.99580383300781
54,55,c_1_055.csv,89.27851104736328
55,56,c_1_056.csv,89.54393005371094
56,57,c_1_057.csv,89.79241943359375
57,58,c_1_058.csv,90.02434539794922
58,59,c_1_059.csv,90.2401123046875
59,60,c_1_060.csv,90.44012451171875
60,61,c_1_061.csv,90.62483215332031
61,62,c_1_062.csv,90.7946548461914
62,63,c_1_063.csv,90.95006561279297
63,64,c_1_064.csv,91.0915298461914
64,65,c_1_065.csv,91.21951293945312
65,66,c_1_066.csv,91.33451843261719
66,67,c_1_067.csv,91.4370346069336
67,68,c_1_068.csv,91.52755737304688
68,69,c_1_069.csv,91.60659790039062
69,70,c_1_070.csv,91.67465209960938
70,71,c_1_071.csv,91.73224639892578
71,72,c_1_072.csv,91.77989196777344
72,73,c_1_073.csv,91.8180923461914
73,74,c_1_074.csv,91.84737396240234
74,75,c_1_075.csv,91.86823272705078
75,76,c_1_076.csv,91.8812026977539
76,77,c_1_077.csv,91.88687896728516
77,78,c_1_078.csv,91.88839721679688
78,79,c_1_079.csv,91.88839721679688
79,80,c_1_080.csv,91.88839721679688
80,81,c_1_081.csv,91.88839721679688
81,82,c_1_082.csv,91.88839721679688
82,83,c_1_083.csv,91.88839721679688
83,84,c_1_084.csv,91.88839721679688
84,85,c_1_085.csv,91.88839721679688
85,86,c_1_086.csv,91.88839721679688
86,87,c_1_087.csv,91.88839721679688
87,88,c_1_088.csv,91.88839721679688
88,89,c_1_089.csv,91.88839721679688
89,90,c_1_090.csv,91.88839721679688
90,91,c_1_091.csv,91.88839721679688
91,92,c_1_092.csv,91.88839721679688
92,93,c_1_093.csv,91.88839721679688
93,94,c_1_094.csv,91.88839721679688
94,95,c_1_095.csv,91.88839721679688
95,96,c_1_096.csv,91.88839721679688
96,97,c_1_097.csv,91.88839721679688
97,98,c_1_098.csv,91.88839721679688
98,99,c_1_099.csv,91.88839721679688
99,100,c_1_100.csv,91.88839721679688
100,101,c_1_101.csv,91.99348449707031
101,102,c_1_102.csv,92.12454986572266
102,103,c_1_103.csv,92.25519561767578
103,104,c_1_104.csv,92.38528442382812
104,105,c_1_105.csv,92.51464080810547
105,106,c_1_106.csv,92.64312744140625
106,107,c_1_107.csv,92.7706069946289
107,108,c_1_108.csv,92.89693450927734
108,109,c_1_109.csv,93.0219955444336
109,110,c_1_110.csv,93.14566802978516
110,111,c_1_111.csv,93.2678451538086
111,112,c_1_112.csv,93.38841247558594
112,113,c_1_113.csv,93.50728607177734
113,114,c_1_114.csv,93.62437438964844
114,115,c_1_115.csv,93.73959350585938
115,116,c_1_116.csv,93.85286712646484
116,117,c_1_117.csv,93.9641342163086
117,118,c_1_118.csv,94.07332611083984
118,119,c_1_119.csv,94.1803970336914
119,120,c_1_120.csv,94.28530883789062
120,121,c_1_121.csv,94.38800811767578
121,122,c_1_122.csv,94.48846435546875
122,123,c_1_123.csv,94.58666229248047
123,124,c_1_124.csv,94.68257904052734
124,125,c_1_125.csv,94.77619171142578
125,126,c_1_126.csv,94.87902069091797
126,127,c_1_127.csv,95.03217315673828
127,128,c_1_128.csv,95.186767578125
128,129,c_1_129.csv,95.34278106689453
129,130,c_1_130.csv,95.50021362304688
